 ,Area,Mean,Min,Max
1,5469,446.835,348,726
2,1210,460.911,357,593
3,8,396.625,389,408
4,3757,422.084,359,589
5,2096,469.318,359,575
6,2968,429.684,362,759
7,1470,479.687,349,892
8,3715,449.075,361,597
9,632,413.003,362,489
10,310,399.239,366,440
11,255987,544.360,291,2046
12,1595,474.181,366,644
13,637,405.664,355,586
14,1964,439.159,351,1139
15,477,434.832,353,534
16,810,429.310,357,609
17,2063,450.912,356,677
18,875,454.974,371,1152
19,2490,451.879,354,607
20,345,426.629,360,520
21,1204,426.610,354,526
22,75,405.627,369,448
23,137,406.394,368,450
24,206,407.447,358,460
25,412,411.840,363,504
26,3414,436.183,352,569
27,55,397.545,367,434
28,282,398.543,356,475
29,534,424.605,355,530
30,197,408.234,366,469
31,2731,471.668,356,933
32,365,412.586,351,516
33,223,415.529,360,519
34,1258,451.766,361,626
35,109,399.872,361,441
36,741,410.825,358,482
37,617,411.712,354,485
38,1460,430.300,358,612
39,320,409.050,356,471
40,1674,466.370,352,722
41,286,426.811,374,569
42,378,428.392,359,547
43,653,420.554,366,512
44,190,418.068,362,507
45,526,408.289,360,501
46,1561,455.159,358,600
47,917,424.833,351,543
48,912,435.793,359,596
49,3868,416.628,349,725
50,196,417.097,364,503
51,177,415.079,363,488
52,2137,465.107,356,735
53,20,392.550,375,415
54,106,410.613,363,469
55,2791,428.698,358,561
56,76,410.013,364,464
57,148,405.088,360,450
58,674,427.380,352,527
59,154,412.370,370,519
60,405,421.356,360,491
61,108,415.546,361,490
62,3522,425.574,348,577
63,441,417.286,353,523
64,146,404.185,362,459
65,642,422.005,357,542
66,152,415.395,372,479
67,3231,465.731,354,616
68,962,423.784,358,529
69,324,496.049,352,1127
70,436,419.177,365,543
71,13,405.000,392,418
72,10,396.500,383,406
73,272,422.820,369,500
74,20,403.250,380,430
75,704,404.014,360,471
76,7,429.286,420,448
77,422,419.934,360,770
78,389,404.581,358,468
79,379,415.243,362,499
80,119,421.429,352,522
81,763,436.739,357,544
82,429,432.821,352,544
83,324,433.306,361,544
84,1566,407.736,359,499
85,176,401.222,357,450
86,553,436.161,353,579
87,24,400.375,373,426
88,82,398.195,356,434
89,5,406.800,396,414
90,2502,433.786,356,533
91,99,408.111,361,455
92,542,456.910,363,625
93,504,418.784,363,505
94,28,400.893,377,430
95,148,418.574,364,479
96,38,411.974,386,441
97,31,401.710,376,428
98,59,407.831,354,455
99,15,401.400,372,417
100,15,399.667,381,409
101,149,420.617,359,518
102,237,419.135,363,498
103,263,428.844,360,550
104,50,401.400,378,437
105,367,437.387,368,513
106,30,405.600,362,445
107,652,421.854,351,534
108,89,405.506,365,451
109,1,439.000,439,439
110,53,406.906,370,457
111,37,398.189,374,422
112,596,420.869,353,511
113,1260,435.683,358,560
114,17,398.882,382,423
115,204,400.725,361,454
116,117,402.855,374,442
117,223,417.094,351,529
118,304,407.151,365,465
119,18,404.778,384,430
120,2,401.500,395,408
121,4,402.250,392,418
122,7510,482.911,353,1125
123,161,405.596,358,465
124,4,427.750,407,460
125,197,412.690,366,480
126,2,402.000,397,407
127,21,404.381,369,431
128,62,404.823,378,448
129,594,460.286,352,577
130,30,406.400,373,438
131,133,413.008,368,471
132,22,404.045,382,427
133,133,414.038,374,455
134,1703,448.630,338,640
135,38,423.658,390,456
136,87,414.437,364,462
137,26,401.885,377,441
138,60,411.883,374,467
139,232,408.168,364,475
140,7,424.429,405,455
141,217,434.613,354,513
142,285,408.754,351,486
143,281,411.171,367,509
144,9,398.222,385,418
145,802,439.471,369,592
146,128,426.734,358,517
147,148,403.899,367,441
148,20,406.000,393,425
149,306,405.379,358,480
150,98,396.112,362,433
151,615,415.020,352,502
152,37,393.000,370,423
153,1,424.000,424,424
154,90,407.333,362,442
155,86,414.477,379,460
156,2354,453.715,355,591
157,1499,481.934,362,685
158,799,484.248,337,1590
159,4,418.500,377,458
160,23,411.565,386,438
161,12,399.083,385,417
